"DATE","rconsnp09Q3","rconsnp09Q4","rconsnp10Q1","rconsnp10Q2","rconsnp10Q3","rconsnp10Q4","rconsnp11Q1","rconsnp11Q2","rconsnp11Q3","rconsnp11Q4","rconsnp12Q1","rconsnp12Q2","rconsnp12Q3","rconsnp12Q4","rconsnp13Q1","rconsnp13Q2","rconsnp13Q3","rconsnp13Q4","rconsnp14Q1","rconsnp14Q2","rconsnp14Q3","rconsnp14Q4","rconsnp15Q1","rconsnp15Q2"
"1958:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1958:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1958:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1958:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1959:Q1","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8"
"1959:Q2","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8"
"1959:Q3","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7"
"1959:Q4","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0"
"1960:Q1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5"
"1960:Q2","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9"
"1960:Q3","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0"
"1960:Q4","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9"
"1961:Q1","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7"
"1961:Q2","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0"
"1961:Q3","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2"
"1961:Q4","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4"
"1962:Q1","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6"
"1962:Q2","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5"
"1962:Q3","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3"
"1962:Q4","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2"
"1963:Q1","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2"
