"DATE","nconhh09Q3","nconhh09Q4","nconhh10Q1","nconhh10Q2","nconhh10Q3","nconhh10Q4","nconhh11Q1","nconhh11Q2","nconhh11Q3","nconhh11Q4","nconhh12Q1","nconhh12Q2","nconhh12Q3","nconhh12Q4","nconhh13Q1","nconhh13Q2","nconhh13Q3","nconhh13Q4","nconhh14Q1","nconhh14Q2","nconhh14Q3","nconhh14Q4","nconhh15Q1","nconhh15Q2"
"1989:Q3","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3554.044","3556.541","3556.541","3556.541","3556.541","3556.541","3556.541","3556.541","3556.541"
"1989:Q4","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3599.846","3600.117","3600.117","3600.117","3600.117","3600.117","3600.117","3600.117","3600.117"
"1990:Q1","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.537","3683.074","3683.074","3683.074","3683.074","3683.074","3683.074","3683.074","3683.074"
"1990:Q2","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3733.447","3725.481","3725.481","3725.481","3725.481","3725.481","3725.481","3725.481","3725.481"
"1990:Q3","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3793.333","3785.274","3785.274","3785.274","3785.274","3785.274","3785.274","3785.274","3785.274"
"1990:Q4","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3813.03","3805.238","3805.238","3805.238","3805.238","3805.238","3805.238","3805.238","3805.238"
"1991:Q1","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3827.23","3811.622","3811.622","3811.622","3811.622","3811.622","3811.622","3811.622","3811.622"
"1991:Q2","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3879.761","3864.205","3864.205","3864.205","3864.205","3864.205","3864.205","3864.205","3864.205"
"1991:Q3","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3923.895","3909.024","3909.024","3909.024","3909.024","3909.024","3909.024","3909.024","3909.024"
"1991:Q4","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3952.438","3935.258","3935.258","3935.258","3935.258","3935.258","3935.258","3935.258","3935.258"
"1992:Q1","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4051.246","4033.15","4033.15","4033.15","4033.15","4033.15","4033.15","4033.15","4033.15"
"1992:Q2","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4102.033","4086.279","4086.279","4086.279","4086.279","4086.279","4086.279","4086.279","4086.279"
"1992:Q3","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4173.7","4155.872","4155.872","4155.872","4155.872","4155.872","4155.872","4155.872","4155.872"
"1992:Q4","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4251.214","4235.582","4235.582","4235.582","4235.582","4235.582","4235.582","4235.582","4235.582"
"1993:Q1","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4291.515","4279.657","4279.657","4279.657","4279.657","4279.657","4279.657","4279.657","4279.657"
"1993:Q2","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4358.32","4348.249","4348.249","4348.249","4348.249","4348.249","4348.249","4348.249","4348.249"
"1993:Q3","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4421.261","4415.546","4415.546","4415.546","4415.546","4415.546","4415.546","4415.546","4415.546"
"1993:Q4","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4484.776","4480.281","4480.281","4480.281","4480.281","4480.281","4480.281","4480.281","4480.281"
"1994:Q1","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4552.063","4547.072","4547.072","4547.072","4547.072","4547.072","4547.072","4547.072","4547.072"
"1994:Q2","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4608.941","4606.545","4606.545","4606.545","4606.545","4606.545","4606.545","4606.545","4606.545"
"1994:Q3","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4682.237","4673.655","4673.655","4673.655","4673.655","4673.655","4673.655","4673.655","4673.655"
"1994:Q4","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4750.498","4745.763","4745.763","4745.763","4745.763","4745.763","4745.763","4745.763","4745.763"
